<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VCB,20201027,66041.77918890568,67040.08515338914,65657.81535641204,66041.77918890568,1169320
VCB,20201026,67193.6706863866,67424.04898588278,66041.77918890568,66041.77918890568,1024530
VCB,20201023,66732.91408739424,67193.6706863866,66579.32855439678,67193.6706863866,708310
VCB,20201022,66118.57195540442,66502.53578789806,65350.64429041714,66502.53578789806,1320610
VCB,20201021,67424.04898588278,68038.39111787261,65964.98642240696,66195.36472190314,1472050
VCB,20201020,66809.70685389296,67424.04898588278,66732.91408739424,67347.25621938406,1075780
VCB,20201019,67577.63451888024,67808.01281837642,67193.6706863866,67193.6706863866,1175250
VCB,20201016,67961.59835137388,68038.39111787261,67193.6706863866,67731.2200518777,722850
VCB,20201015,67731.2200518777,68038.39111787261,66656.12132089552,68038.39111787261,1424740
VCB,20201014,66656.12132089552,68345.56218386751,66579.32855439678,67731.2200518777,1206380
VCB,20201013,66041.77918890568,66732.91408739424,65657.81535641204,66425.74302139932,1388530
VCB,20201012,66041.77918890568,66809.70685389296,65120.26599092096,65964.98642240696,1574610
VCB,20201009,64889.887691424774,65273.85152391841,64889.887691424774,65120.26599092096,366200
VCB,20201008,65657.81535641204,65657.81535641204,64352.338325933684,65120.26599092096,612140
VCB,20201007,64198.752792936226,65427.43705691587,63814.78896044259,65273.85152391841,988270
VCB,20201006,64352.338325933684,64813.094924926045,63891.58172694132,64429.13109243241,3623210
VCB,20201005,64889.887691424774,65273.85152391841,64045.167259938775,64121.9600264375,874745
VCB,20201002,65120.26599092096,65273.85152391841,61434.213198982034,64505.923858931135,890840
VCB,20201001,65350.64429041714,65350.64429041714,64659.509391928594,65120.26599092096,367030
VCB,20200930,65273.85152391841,65273.85152391841,64352.338325933684,64582.716625429865,874450
VCB,20200929,66041.77918890568,66118.57195540442,64352.338325933684,64966.6804579235,1609090
VCB,20200928,65888.19365590824,66195.36472190314,65581.02258991332,66041.77918890568,1254760
VCB,20200925,66118.57195540442,66195.36472190314,65657.81535641204,66041.77918890568,1107270
VCB,20200924,64582.716625429865,66195.36472190314,64582.716625429865,66118.57195540442,1628730
VCB,20200923,64659.509391928594,65657.81535641204,64659.509391928594,65581.02258991332,1395190
VCB,20200922,63737.996193943865,64813.094924926045,63584.41066094641,64505.923858931135,1746960
VCB,20200921,63814.78896044259,64198.752792936226,63737.996193943865,63737.996193943865,1671360
VCB,20200918,63277.2395949515,63737.996193943865,63277.2395949515,63661.203427445136,1188400
VCB,20200917,63354.03236145023,63737.996193943865,62970.06852895659,63354.03236145023,1560590
VCB,20200916,63430.82512794895,63814.78896044259,62970.06852895659,63661.203427445136,628030
VCB,20200915,63737.996193943865,64121.9600264375,63354.03236145023,63354.03236145023,1318970
VCB,20200914,63584.41066094641,63814.78896044259,63507.61789444768,63737.996193943865,657680
VCB,20200911,63046.86129545532,63430.82512794895,62816.48299595913,63200.44682845277,665690
VCB,20200910,63737.996193943865,63968.374493440046,63046.86129545532,63046.86129545532,709700
VCB,20200909,62970.06852895659,63891.58172694132,62586.10469646295,63123.65406195404,1499680
VCB,20200908,64198.752792936226,64429.13109243241,63200.44682845277,63354.03236145023,2047560
VCB,20200907,65043.47322442223,65350.64429041714,64198.752792936226,64198.752792936226,1445780
VCB,20200904,65273.85152391841,66118.57195540442,65120.26599092096,65197.05875741968,2448360
VCB,20200903,64275.545559434955,66425.74302139932,64275.545559434955,66195.36472190314,2939090
VCB,20200901,63737.996193943865,63968.374493440046,63661.203427445136,63737.996193943865,1755600
VCB,20200831,64505.923858931135,64889.887691424774,63584.41066094641,63737.996193943865,971310
VCB,20200828,64198.752792936226,64429.13109243241,63968.374493440046,64045.167259938775,2627250
VCB,20200827,64121.9600264375,64429.13109243241,63891.58172694132,64121.9600264375,2375230
VCB,20200826,64429.13109243241,64429.13109243241,64045.167259938775,64121.9600264375,1639940
VCB,20200825,64429.13109243241,65197.05875741968,64429.13109243241,64429.13109243241,1895400
VCB,20200824,63737.996193943865,64966.6804579235,63737.996193943865,64429.13109243241,1812010
VCB,20200821,63737.996193943865,63891.58172694132,63430.82512794895,63661.203427445136,1381740
VCB,20200820,63737.996193943865,64889.887691424774,63737.996193943865,63737.996193943865,1453480
VCB,20200819,63200.44682845277,63737.996193943865,62970.06852895659,63737.996193943865,586790
VCB,20200818,63200.44682845277,63430.82512794895,62739.69022946041,63200.44682845277,400600
VCB,20200817,62970.06852895659,63661.203427445136,62739.69022946041,63200.44682845277,389480
