,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
839,VCB,20200203,64582.716625429865,69267.07538185225,63737.996193943865,68115.18388437133,1836670
840,VCB,20200131,67577.63451888024,68959.90431585733,67347.25621938406,68115.18388437133,1345160
841,VCB,20200130,70726.13794532807,70956.51624482425,66809.70685389296,68268.76941736879,3769560
842,VCB,20200122,72185.20050880389,72953.12817379116,71494.06561031535,71724.44390981153,908710
843,VCB,20200121,72108.40774230516,72645.95710779626,71878.02944280898,72185.20050880389,799590
844,VCB,20200120,72569.16434129752,72799.54264079372,71801.23667631026,72185.20050880389,860190
845,VCB,20200117,68729.52601636115,72569.16434129752,68729.52601636115,72569.16434129752,2250790
846,VCB,20200116,68575.9404833637,69343.86814835097,68268.76941736879,68729.52601636115,1271580
847,VCB,20200115,68806.31878285987,68806.31878285987,68191.97665087006,68575.9404833637,1499860
848,VCB,20200114,68729.52601636115,69113.48984885479,68422.35495036624,68652.73324986243,1001130
849,VCB,20200113,68345.56218386751,68959.90431585733,68345.56218386751,68652.73324986243,1722350
850,VCB,20200110,68115.18388437133,69420.6609148497,67500.84175238152,68729.52601636115,1596400
851,VCB,20200109,67347.25621938406,68268.76941736879,67347.25621938406,68115.18388437133,905650
852,VCB,20200108,66732.91408739424,67500.84175238152,66195.36472190314,66809.70685389296,842280
853,VCB,20200107,66809.70685389296,67500.84175238152,65581.02258991332,67424.04898588278,1122600
854,VCB,20200106,68499.14771686497,68729.52601636115,67193.6706863866,67193.6706863866,880110
855,VCB,20200103,70265.38134633571,70495.75964583189,69036.69708235607,69036.69708235607,536130
856,VCB,20200102,69267.07538185225,70188.58857983697,68883.11154935861,69727.83198084461,386290
857,VCB,20191231,69574.24644784715,69958.21028034079,69190.28261535351,69267.07538185225,250770
858,VCB,20191230,69497.45368134843,70802.93071182679,69113.48984885479,69881.41751384207,660140
859,VCB,20191227,67969.74432535606,68883.11155033285,67208.60497120874,68883.11155033285,498870
860,VCB,20191226,68883.11155033285,68883.11155033285,67741.40251911187,68045.8582607708,424110
861,VCB,20191225,68502.5418732592,69187.56729199179,67741.40251911187,68426.42793784446,251880
862,VCB,20191224,69111.45335657705,69111.45335657705,67665.28858369714,68502.5418732592,507600
863,VCB,20191223,67665.28858369714,69263.68122740652,67665.28858369714,69187.56729199179,957250
864,VCB,20191220,66980.26316496455,67360.8328420382,66828.03529413507,67208.60497120874,460360
865,VCB,20191219,65990.78200457302,67132.49103579401,65457.984456669896,66980.26316496455,1118570
866,VCB,20191218,65001.300844181496,65990.78200457302,64925.186908766766,65990.78200457302,865740
867,VCB,20191217,65762.44019832883,66219.12381081721,64925.186908766766,64925.186908766766,383060
868,VCB,20191216,67284.71890662347,67284.71890662347,64696.84510252257,65457.984456669896,782550
869,VCB,20191213,67056.37710037928,67360.8328420382,66599.69348789088,67284.71890662347,766800
870,VCB,20191212,65534.09839208463,66980.26316496455,65457.984456669896,66599.69348789088,485750
871,VCB,20191211,65457.984456669896,65457.984456669896,64849.07297335204,65381.870521255165,471080
872,VCB,20191210,64925.186908766766,65381.870521255165,64696.84510252257,65001.300844181496,532290
873,VCB,20191209,64620.73116710784,65229.642650425696,64240.161490034174,64849.07297335204,433740
874,VCB,20191206,64544.617231693104,64849.07297335204,64240.161490034174,64620.73116710784,312400
875,VCB,20191205,64696.84510252257,65229.642650425696,64392.38936086364,64544.617231693104,398490
876,VCB,20191204,62337.31310466587,64544.617231693104,62032.85736300694,64468.50329627837,409730
877,VCB,20191203,63174.56639422792,64011.81968378997,62413.4270400806,62413.4270400806,635370
878,VCB,20191202,64925.186908766766,65229.642650425696,63174.56639422792,63555.13607130158,485800
879,VCB,20191129,65153.528715010965,65305.75658584043,64696.84510252257,64925.186908766766,375000
880,VCB,20191128,65457.984456669896,65686.3262629141,64620.73116710784,64925.186908766766,494650
881,VCB,20191127,65077.41477959624,66219.12381081721,64925.186908766766,65686.3262629141,551360
882,VCB,20191126,64316.275425448905,65305.75658584043,64316.275425448905,64468.50329627837,864130
883,VCB,20191125,65077.41477959624,65457.984456669896,62870.11065256899,64316.275425448905,1580550
884,VCB,20191122,66675.80742330561,67360.8328420382,64849.07297335204,65077.41477959624,1416230
885,VCB,20191121,67817.5164545266,68274.200067015,66599.69348789088,66599.69348789088,1034280
886,VCB,20191120,69263.68122740652,69263.68122740652,68121.97219618552,68121.97219618552,546280
887,VCB,20191119,66980.26316496455,69263.68122740652,66980.26316496455,69263.68122740652,571560
888,VCB,20191118,68121.97219618552,68426.42793784446,66599.69348789088,66675.80742330561,700550
889,VCB,20191115,68502.5418732592,69263.68122740652,68045.8582607708,68274.200067015,595270
890,VCB,20191114,68883.11155033285,69568.13696906544,68654.76974408865,69187.56729199179,420320
